track_id,timestamp_s,x_mm,y_mm,angle_deg,cam_name
33900,21.2273,108.6509,38.8574,354.9573,Cam 1
28378,21.3909,71.9402,112.5864,259.5593,Cam 1
29358,21.3909,114.5488,116.1263,245.7317,Cam 1
30024,21.3909,114.9727,117.1585,244.2451,Cam 1
31562,21.3909,85.5971,43.0548,328.0128,Cam 1
32114,21.3909,88.3784,98.5962,232.5854,Cam 1
32696,21.3909,96.3855,78.9028,265.8960,Cam 1
33506,21.3909,74.0189,70.7455,344.2129,Cam 1
33552,21.3909,90.6347,70.2901,274.4340,Cam 1
33778,21.3909,107.2943,35.6315,322.0778,Cam 1
33785,21.3500,98.8657,42.9416,327.7538,Cam 1
33798,21.3909,85.7105,50.7080,331.6310,Cam 1
33803,21.3909,74.5981,51.1203,332.8553,Cam 1
33805,21.3909,136.0589,17.1327,328.8918,Cam 1
33812,21.3909,120.9169,28.4650,337.9656,Cam 1
33826,21.3909,79.2598,48.0448,327.1413,Cam 1
33835,21.3909,92.7060,123.7453,337.4754,Cam 1
33848,21.3909,81.0455,88.9180,231.1915,Cam 1
33856,21.3909,79.5068,53.1321,326.5105,Cam 1
33862,21.3909,116.6836,39.1438,335.1823,Cam 1
33881,21.3909,71.1264,107.5248,330.3540,Cam 1
33885,21.3909,110.5334,33.1809,322.2238,Cam 1
33896,21.3500,110.6971,86.4454,243.5000,Cam 1
48127,21.2273,241.7359,-58.3724,358.5672,Cam 2
48779,21.2273,246.1413,-70.1780,306.2495,Cam 2
48998,21.2273,182.3543,-20.1453,359.2472,Cam 2
49014,21.2273,189.5447,-23.9685,196.4813,Cam 2
49029,21.2273,208.7227,-40.5384,310.7414,Cam 2
49048,21.2273,185.3280,-22.1706,332.5772,Cam 2
49052,21.2273,172.6264,-43.5028,349.4164,Cam 2
49082,21.2273,195.3448,-59.4892,334.6575,Cam 2
49085,21.2273,238.6676,-51.1127,184.1184,Cam 2
49092,21.2273,178.5509,-66.0064,335.9413,Cam 2
49108,21.2273,266.4249,-36.5170,345.8472,Cam 2
49116,21.2273,226.7202,-61.8662,347.2043,Cam 2
49117,21.2273,191.1064,-57.4030,339.8487,Cam 2
49118,21.2273,164.0100,-40.6177,345.6409,Cam 2
49121,21.2273,262.3185,-56.3940,357.5585,Cam 2
49129,21.2273,201.4373,-28.1050,352.4882,Cam 2
49131,21.2273,208.9127,-38.7221,271.7543,Cam 2
49132,21.2273,218.5653,-37.9789,347.6818,Cam 2
