track_id,timestamp_s,x_mm,y_mm,angle_deg,cam_name
1449,19.9909,304.8256,-64.2255,347.4240,Cam 3
2488,19.9909,296.2288,-62.1162,185.0443,Cam 3
3061,19.9909,342.5327,-64.7757,186.3689,Cam 3
3157,19.9909,342.4571,-53.8915,351.6604,Cam 3
3448,19.9909,300.1998,-50.6767,346.2498,Cam 3
3926,19.9909,291.5040,-54.5707,186.6991,Cam 3
3945,19.9909,325.2042,-53.0612,359.5106,Cam 3
4065,19.9909,330.2227,-43.8531,233.1638,Cam 3
4405,19.9909,303.8053,-56.4770,188.9701,Cam 3
4494,19.9909,323.6896,-41.0685,311.4884,Cam 3
4573,19.9909,281.7384,-52.8799,192.9387,Cam 3
4613,19.9909,286.1470,-45.1747,182.2963,Cam 3
4668,19.9909,360.1135,-66.0224,344.9778,Cam 3
4681,19.9909,281.2275,-64.5895,184.6431,Cam 3
4693,19.9909,398.4372,-59.2252,261.0094,Cam 3
4747,19.9909,355.0396,-59.7742,185.1339,Cam 3
4766,19.9909,325.6732,-53.0091,181.4796,Cam 3
4979,19.9909,273.9055,-57.3796,205.9067,Cam 3
4980,19.9909,312.1007,-45.0648,182.9611,Cam 3
4983,19.9909,309.9394,-65.4323,345.7551,Cam 3
5046,19.9909,347.6637,-54.3458,355.5627,Cam 3
5082,19.9909,329.8585,-66.6419,181.4873,Cam 3
5199,19.9909,292.3221,-38.9901,270.9054,Cam 3
5225,19.9909,355.3062,-57.7539,192.4356,Cam 3
5251,19.9909,347.3980,-62.1777,349.1103,Cam 3
5331,19.9909,362.0539,-53.2146,331.0937,Cam 3
5348,19.9909,390.8447,-66.0866,238.1261,Cam 3
5375,19.9909,283.4153,-50.5999,190.3436,Cam 3
5496,19.9909,380.4541,-61.0339,200.7166,Cam 3
5726,19.9909,273.4973,-48.0714,338.9828,Cam 3
6003,19.9909,336.2448,-41.7282,327.8318,Cam 3
6120,19.9909,320.8811,-50.2692,185.0519,Cam 3
6129,19.9909,377.5871,-67.2421,180.5277,Cam 3
6136,19.9909,337.7002,-69.8830,359.8240,Cam 3
6167,19.9909,274.3834,-31.6308,193.8893,Cam 3
6183,19.9909,390.0887,-71.7135,357.1263,Cam 3
6200,19.9909,386.7756,-63.2318,353.7265,Cam 3
6210,19.9909,396.3472,-63.2053,194.7567,Cam 3
6349,19.9909,379.5724,-67.2163,359.9132,Cam 3
6393,19.9909,308.7018,-41.2194,318.2428,Cam 3
6403,19.9909,276.2763,-44.4550,313.8257,Cam 3
6415,19.9909,363.9515,-42.0787,195.9031,Cam 3
6419,19.9909,344.8464,-59.4765,186.7389,Cam 3
6550,19.9909,348.7401,-65.2983,359.6285,Cam 3
6555,19.9909,317.1977,-49.1619,183.3187,Cam 3
6558,19.9909,309.1401,-55.4208,182.7479,Cam 3
6576,19.9909,362.0683,-66.5480,342.8962,Cam 3
6602,19.9909,317.2596,-63.4147,347.5313,Cam 3
6616,19.9909,305.3860,-50.1893,192.8440,Cam 3
6680,19.9909,364.3004,-55.0854,341.3665,Cam 3
6704,19.9909,338.9581,-60.2786,188.5390,Cam 3
6761,19.9909,330.6781,-63.3573,192.5983,Cam 3
6818,19.9909,310.2492,-47.4339,339.8234,Cam 3
6823,19.9909,311.0238,-54.0817,284.3671,Cam 3
6836,19.9909,359.8809,-49.6668,190.2009,Cam 3
6878,19.9909,272.3538,-43.1488,213.8359,Cam 3
6925,19.9909,306.3639,-32.9789,313.5045,Cam 3
6929,19.9909,396.8326,-68.1819,339.1489,Cam 3
6935,19.9909,305.2862,-45.6756,338.0675,Cam 3
6948,19.9909,339.6225,-45.9863,270.1264,Cam 3
6968,19.9909,360.6902,-42.0576,186.3905,Cam 3
6985,19.9909,385.6911,-55.0401,191.2719,Cam 3
6990,19.9909,290.0884,-57.3113,332.2154,Cam 3
6995,19.9909,372.9953,-65.3999,357.3257,Cam 3
7022,19.9909,376.1127,-54.8990,193.5827,Cam 3
7045,19.9909,310.6487,-49.4868,187.4568,Cam 3
7062,19.9909,360.9169,-56.4813,189.3763,Cam 3
7063,19.9909,364.0251,-55.0284,341.0761,Cam 3
7118,19.9909,283.3337,-57.6153,201.0629,Cam 3
7131,19.9909,310.7569,-52.5107,281.6284,Cam 3
7140,19.9909,392.5292,-58.1132,358.8639,Cam 3
7144,19.9909,385.3928,-50.5744,236.2885,Cam 3
7149,19.9909,337.1813,-69.4177,183.6279,Cam 3
7151,19.9909,362.1702,-46.4740,180.4458,Cam 3
7156,19.9909,373.1590,-50.2595,280.2525,Cam 3
7157,19.9909,308.3729,-55.9507,188.0504,Cam 3
7161,19.9909,327.3458,-58.3186,183.5044,Cam 3
7169,19.9909,393.5692,-57.5495,358.8549,Cam 3
7176,19.9909,376.1246,-54.9258,190.2538,Cam 3
7183,19.9909,328.3504,-38.5245,348.0275,Cam 3
7188,19.9909,372.3566,-65.3574,358.3573,Cam 3
7207,19.9909,341.5547,-68.3044,180.5510,Cam 3
