track_id,timestamp_s,x_mm,y_mm,angle_deg,cam_name
42082,20.4364,136.2091,23.6728,323.6807,Cam 1
42197,20.4364,136.2888,28.5340,329.0990,Cam 1
42203,20.4364,137.8624,27.5935,329.9697,Cam 1
42206,20.4773,156.4634,20.9197,292.2003,Cam 1
38902,20.6000,88.0921,98.9603,232.9742,Cam 1
41826,20.6000,131.0740,21.9938,324.9904,Cam 1
41978,20.5182,111.2075,88.4400,242.3409,Cam 1
42025,20.6000,137.9834,16.0315,196.0579,Cam 1
42045,20.5182,140.1266,22.1190,356.7209,Cam 1
42095,20.6000,122.0097,91.7526,242.6205,Cam 1
42145,20.6000,150.8413,22.4373,323.4957,Cam 1
42151,20.6000,150.2077,18.3689,187.0072,Cam 1
42158,20.6000,126.5764,30.0508,312.4837,Cam 1
42160,20.6000,122.5171,29.2401,353.9923,Cam 1
42162,20.6000,82.1016,91.1285,232.3713,Cam 1
42166,20.6000,143.9874,17.0315,190.5848,Cam 1
42169,20.6000,124.6410,29.8149,331.3800,Cam 1
42172,20.6000,130.2972,22.9964,323.3693,Cam 1
42180,20.5182,145.8208,7.3407,250.1037,Cam 1
42189,20.6000,139.6077,26.2970,330.3708,Cam 1
42190,20.6000,116.3068,80.3286,235.6596,Cam 1
42200,20.6000,143.9643,21.8354,184.5543,Cam 1
42201,20.6000,129.1724,29.8959,329.8267,Cam 1
42204,20.6000,138.1917,27.0943,331.1885,Cam 1
42207,20.5182,132.5121,29.0764,337.2203,Cam 1
42209,20.5182,143.7366,22.3479,183.2933,Cam 1
42217,20.6000,126.8727,29.7294,311.8758,Cam 1
51105,20.4364,183.4390,-25.5069,356.4492,Cam 2
51375,20.4364,245.2698,-35.7766,187.4361,Cam 2
51449,20.4364,186.6226,-51.1653,302.9218,Cam 2
51661,20.4364,242.1371,-69.3249,357.8872,Cam 2
51666,20.4364,162.3784,-15.6255,294.7642,Cam 2
51876,20.4364,153.3134,-42.4395,287.2354,Cam 2
51891,20.4364,165.7171,-29.0415,334.0952,Cam 2
51913,20.4364,248.0197,-54.9222,346.9986,Cam 2
51922,20.4364,250.5392,-56.0773,357.0845,Cam 2
51932,20.4364,162.7155,-70.4099,252.4535,Cam 2
51935,20.4364,245.3146,-56.8789,186.4337,Cam 2
51948,20.4364,215.6725,-26.1411,184.4583,Cam 2
51975,20.4364,251.4113,-55.9127,181.1371,Cam 2
51977,20.4364,217.6660,-33.7696,251.3578,Cam 2
51982,20.4364,229.7042,-31.2969,346.3082,Cam 2
51984,20.4364,212.3885,-29.7186,260.4067,Cam 2
52002,20.4364,174.1492,-45.5252,180.5670,Cam 2
52003,20.4364,200.9243,-53.3029,191.2212,Cam 2
52006,20.4364,226.4711,-22.1840,324.1452,Cam 2
52034,20.4364,215.4867,-47.3216,248.4214,Cam 2
52056,20.4364,175.6645,-39.4783,296.5510,Cam 2
52064,20.4364,259.8740,-38.4478,359.2057,Cam 2
52067,20.4364,275.1711,-62.9802,191.9802,Cam 2
52070,20.4364,166.1599,-43.7570,303.6982,Cam 2
52071,20.4364,176.5974,-26.8710,355.0279,Cam 2
52073,20.4364,200.8937,-30.5356,274.0498,Cam 2
52076,20.4364,170.7121,-20.9102,345.9787,Cam 2
52079,20.4364,217.0109,-40.5322,191.4557,Cam 2
52080,20.4364,239.3321,-62.8663,188.8035,Cam 2
52081,20.4364,193.4438,-32.7656,356.9128,Cam 2
52082,20.4364,158.2132,-18.6236,321.5944,Cam 2
52083,20.4364,175.5736,-17.8176,351.9770,Cam 2
52084,20.4364,180.8842,-46.2733,358.8573,Cam 2
52085,20.4364,251.0879,-47.9669,214.0037,Cam 2
52086,20.4364,259.5183,-40.1124,247.3452,Cam 2
52087,20.4364,173.9327,-19.6503,343.0218,Cam 2
52090,20.4364,210.1323,-27.4534,341.1351,Cam 2
52094,20.4364,227.2589,-53.2070,207.6694,Cam 2
52095,20.4364,193.8785,-25.8860,338.3898,Cam 2
52097,20.4364,255.9405,-46.1745,201.0077,Cam 2
52098,20.4364,261.3887,-47.3713,349.7947,Cam 2
52101,20.4364,245.2587,-39.8610,202.3569,Cam 2
52103,20.4364,252.8125,-38.3333,183.6722,Cam 2
52104,20.4364,249.9374,-48.8838,346.5888,Cam 2
52105,20.4364,198.3639,-37.6481,290.5451,Cam 2
52107,20.4364,163.6991,-58.4908,310.2892,Cam 2
52108,20.4364,214.7772,-38.8125,343.0591,Cam 2
52110,20.4364,170.1755,-41.3574,355.6103,Cam 2
52111,20.4364,244.9049,-66.7691,181.2220,Cam 2
52112,20.4364,195.8054,-20.5842,224.7383,Cam 2
50847,20.4773,165.9033,-14.9450,330.8818,Cam 2
51057,20.4773,263.3627,-43.0312,184.3880,Cam 2
51645,20.4773,201.7397,-25.3117,334.5381,Cam 2
51738,20.4773,258.1215,-56.8172,199.0356,Cam 2
51796,20.4773,189.6574,-37.0350,302.2748,Cam 2
51832,20.4773,238.7660,-53.1403,209.1231,Cam 2
