track_id,timestamp_s,x_mm,y_mm,angle_deg,cam_name
7246,19.9909,337.4666,-49.2834,293.5700,Cam 3
9992,19.9909,286.1617,-52.1194,352.6666,Cam 3
11153,19.9909,294.3632,-57.8844,183.6244,Cam 3
11935,19.9909,277.7394,-38.3436,316.3687,Cam 3
12351,19.9909,346.2981,-66.6188,180.0708,Cam 3
13086,19.9909,346.1117,-59.7535,185.7369,Cam 3
13190,19.9909,378.2415,-67.3310,359.0530,Cam 3
13618,19.9909,306.5576,-35.8779,332.1680,Cam 3
13640,19.9909,271.6789,-58.5166,186.2211,Cam 3
13720,19.9909,382.3773,-73.7616,188.8129,Cam 3
13910,19.9909,271.3865,-60.6105,357.6068,Cam 3
14124,19.9909,362.1651,-45.5585,349.8496,Cam 3
14169,19.9909,385.7873,-65.6418,358.3768,Cam 3
14213,19.9909,353.6180,-66.0793,324.6548,Cam 3
14533,19.9909,362.5532,-53.7998,186.4321,Cam 3
14569,19.9909,271.1131,-53.6663,184.9466,Cam 3
14574,19.9909,338.1713,-66.9157,186.8081,Cam 3
14686,19.9909,392.0508,-69.2971,349.1077,Cam 3
14871,19.9909,308.4686,-40.2379,299.8188,Cam 3
14887,19.9909,311.3529,-43.3921,307.1816,Cam 3
14895,19.9909,345.4030,-51.4537,312.7910,Cam 3
15039,19.9909,398.3214,-57.8565,297.4720,Cam 3
15043,19.9909,272.5212,-33.4663,199.5686,Cam 3
15046,19.9909,382.6127,-73.7218,190.3348,Cam 3
15079,19.9909,344.9229,-56.6747,194.7548,Cam 3
15124,19.9909,345.4513,-44.0822,340.1446,Cam 3
15233,19.9909,341.9709,-63.1727,190.5876,Cam 3
15303,19.9909,381.4259,-55.8619,308.1116,Cam 3
15338,19.9909,275.2285,-51.7787,201.0813,Cam 3
15380,19.9909,380.4716,-60.2269,258.5341,Cam 3
15404,19.9909,341.4553,-60.2054,187.6611,Cam 3
15442,19.9909,393.6785,-53.6781,204.4880,Cam 3
15459,19.9909,325.4304,-64.3213,184.7735,Cam 3
15466,19.9909,380.0872,-56.6944,357.8723,Cam 3
15498,19.9909,340.8700,-42.5206,340.2755,Cam 3
15532,19.9909,392.9723,-55.1228,183.3108,Cam 3
15545,19.9909,314.3361,-32.7365,184.4464,Cam 3
15559,19.9909,286.6380,-57.3974,343.6480,Cam 3
15566,19.9909,281.9913,-56.3352,193.5580,Cam 3
15588,19.9909,332.5695,-55.4188,354.5954,Cam 3
15595,19.9909,376.8947,-57.1215,180.3481,Cam 3
15613,19.9909,303.3935,-45.8042,339.7717,Cam 3
15640,19.9909,353.3570,-55.4835,190.6921,Cam 3
15643,19.9909,302.9116,-64.1622,341.9787,Cam 3
15680,19.9909,304.4454,-43.2448,338.8828,Cam 3
15750,19.9909,322.6139,-37.1633,243.7756,Cam 3
15765,19.9909,293.7037,-69.7889,345.3705,Cam 3
15803,19.9909,309.4543,-64.7948,191.9832,Cam 3
15812,19.9909,366.1828,-46.9210,235.3618,Cam 3
15830,19.9909,283.6070,-62.3690,183.1782,Cam 3
15838,19.9909,363.7746,-53.4657,191.7924,Cam 3
15872,19.9909,376.1854,-51.1948,348.4286,Cam 3
15874,19.9909,316.7972,-58.8153,352.2455,Cam 3
15876,19.9909,306.4475,-58.7481,183.3759,Cam 3
15908,19.9909,362.5499,-66.3195,269.8339,Cam 3
15943,19.9909,337.2056,-44.2288,185.9114,Cam 3
15976,19.9909,381.5609,-50.6782,300.0503,Cam 3
16005,19.9909,362.7310,-61.1407,355.6096,Cam 3
16013,19.9909,365.7184,-56.0694,196.9966,Cam 3
16026,19.9909,343.3951,-66.1860,198.5916,Cam 3
16058,19.9909,345.5003,-56.2474,188.2394,Cam 3
16073,19.9909,372.7844,-56.3740,338.3810,Cam 3
16083,19.9909,347.1723,-53.6775,335.4760,Cam 3
16085,19.9909,380.2331,-65.2037,182.0959,Cam 3
16092,19.9909,310.3880,-56.0865,214.4981,Cam 3
16115,19.9909,329.7175,-53.3575,212.6402,Cam 3
16117,19.9909,315.7236,-47.8829,264.5336,Cam 3
16120,19.9909,271.0065,-46.9692,221.7432,Cam 3
16133,19.9909,304.0820,-53.7332,212.9335,Cam 3
16136,19.9909,357.5353,-60.1923,180.8566,Cam 3
16150,19.9909,373.7713,-61.7520,187.0291,Cam 3
16158,19.9909,378.3658,-57.1129,354.3043,Cam 3
16180,19.9909,338.8101,-58.3005,195.8706,Cam 3
16185,19.9909,395.6641,-66.5269,183.2915,Cam 3
16191,19.9909,281.5252,-54.6231,347.8014,Cam 3
16194,19.9909,385.6119,-54.2228,218.4990,Cam 3
16207,19.9909,394.6763,-46.2786,193.4395,Cam 3
16213,19.9909,295.5726,-53.0874,190.2732,Cam 3
16221,19.9909,337.0030,-68.7401,349.2121,Cam 3
16224,19.9909,371.6274,-65.6587,186.3259,Cam 3
16238,19.9909,305.5033,-51.5671,221.0283,Cam 3
16239,19.9909,309.7444,-37.5173,329.3327,Cam 3
16250,19.9909,346.9775,-61.8175,191.7910,Cam 3
16251,19.9909,386.0320,-70.9202,359.8037,Cam 3
16252,19.9909,327.5712,-44.5804,340.4079,Cam 3
16254,19.9909,270.8198,-55.8390,358.4187,Cam 3
16255,19.9909,309.5236,-44.9545,352.9530,Cam 3
16269,19.9909,350.1880,-44.9734,320.7916,Cam 3
16284,19.9909,375.9141,-54.3995,235.0236,Cam 3
16291,19.9909,376.5144,-61.1545,336.2222,Cam 3
16300,19.9909,292.1115,-31.5917,326.7484,Cam 3
16301,19.9909,359.2632,-48.0715,264.8228,Cam 3
16312,19.9909,389.7609,-63.0800,180.2648,Cam 3
16314,19.9909,312.2262,-50.3585,198.4875,Cam 3
16324,19.9909,335.1450,-59.1410,202.1314,Cam 3
16327,19.9909,299.9843,-36.1136,335.8574,Cam 3
16333,19.9909,364.5268,-63.1900,286.9105,Cam 3
16335,19.9909,318.8678,-40.7835,330.1047,Cam 3
16341,19.9909,370.3253,-50.8278,182.0593,Cam 3
16344,19.9909,305.8064,-69.9855,220.6028,Cam 3
16347,19.9909,377.7914,-77.0761,180.7272,Cam 3
16351,19.9909,271.9707,-53.9795,204.9107,Cam 3
16360,19.9909,352.6005,-56.1064,195.5076,Cam 3
16361,19.9909,367.6991,-55.9860,187.6644,Cam 3
16366,19.9909,303.3491,-49.6106,295.1205,Cam 3
16376,19.9909,362.3690,-66.5032,273.2527,Cam 3
16381,19.9909,308.1490,-70.2039,229.4161,Cam 3
16385,19.9909,381.9887,-61.8103,351.8110,Cam 3
16390,19.9909,397.6748,-54.3813,322.3118,Cam 3
16399,19.9909,306.6102,-51.7085,240.0541,Cam 3
16401,19.9909,312.6227,-54.3188,182.4614,Cam 3
16402,19.9909,370.7352,-65.7194,187.6826,Cam 3
16404,19.9909,350.7112,-51.9990,283.3438,Cam 3
16405,19.9909,364.2616,-62.8025,250.1698,Cam 3
16406,19.9909,314.4678,-61.5914,191.0904,Cam 3
16409,19.9909,397.0081,-57.6315,214.8960,Cam 3
16410,19.9909,301.2021,-53.3894,183.4163,Cam 3
16417,19.9909,269.2327,-52.6828,211.9965,Cam 3
16418,19.9909,382.4395,-59.8400,346.7412,Cam 3
16420,19.9909,277.4382,-41.0933,351.5618,Cam 3
16422,19.9909,386.7906,-60.4137,336.1433,Cam 3
16423,19.9909,341.4481,-48.9776,321.8127,Cam 3
16424,19.9909,306.3854,-39.1820,310.8406,Cam 3
16425,19.9909,296.8137,-41.7504,231.7942,Cam 3
16426,19.9909,339.2711,-53.4934,316.4106,Cam 3
16428,19.9909,287.8782,-52.7595,206.2916,Cam 3
16432,19.9909,364.0626,-61.5497,186.8408,Cam 3
16439,19.9909,269.4335,-51.5069,197.5772,Cam 3
16443,19.9909,351.1394,-70.4789,180.2651,Cam 3
16444,19.9909,327.5363,-49.4121,355.0265,Cam 3
16446,19.9909,366.3429,-55.7106,187.7632,Cam 3
16450,19.9909,352.8840,-46.9320,353.2103,Cam 3
16451,19.9909,305.9713,-55.0989,182.9866,Cam 3
16453,19.9909,282.8658,-48.9756,351.2180,Cam 3
16454,19.9909,324.3240,-46.4121,214.4582,Cam 3
16455,19.9909,282.8316,-39.6425,220.8615,Cam 3
16456,19.9909,287.7193,-45.5791,187.9952,Cam 3
16457,19.9909,364.6104,-61.8490,292.6824,Cam 3
16458,19.9909,388.4646,-52.7882,289.0067,Cam 3
16459,19.9909,286.4421,-36.6868,207.3387,Cam 3
16460,19.9909,295.2030,-39.7473,358.4539,Cam 3
16461,19.9909,274.2089,-50.6084,209.9889,Cam 3
16462,19.9909,316.3273,-53.9981,264.6183,Cam 3
