track_id,timestamp_s,x_mm,y_mm,angle_deg,cam_name
21578,19.9864,148.0302,11.2503,297.1459,Cam 1
21586,19.9864,136.0479,26.1891,337.3486,Cam 1
21599,19.9864,89.3832,101.4906,232.7828,Cam 1
21097,20.0682,120.1090,26.0555,328.4968,Cam 1
21524,20.1091,131.5563,22.5812,322.5908,Cam 1
21554,20.1500,128.3085,34.5726,186.1405,Cam 1
15542,20.3136,78.9254,108.4139,335.5845,Cam 1
20565,20.3136,81.4914,90.9572,231.5824,Cam 1
20834,20.3136,89.8368,42.4691,325.9104,Cam 1
21127,20.3136,85.6756,128.0018,243.6802,Cam 1
21236,20.3136,75.1081,50.9961,199.8111,Cam 1
21266,20.3136,91.9873,45.9127,357.4622,Cam 1
21280,20.3136,115.4117,29.8650,317.5668,Cam 1
21399,20.2727,113.3269,35.1897,345.7017,Cam 1
21408,20.3136,126.5600,25.2899,327.7833,Cam 1
21442,20.3136,113.3191,120.2214,242.8532,Cam 1
21452,20.3136,108.6095,33.6376,330.1168,Cam 1
21458,20.3136,103.1483,34.9174,306.0554,Cam 1
21459,20.3136,104.5256,35.7910,329.9023,Cam 1
21463,20.3136,78.9185,51.7667,191.5534,Cam 1
21517,20.3136,105.6656,31.7557,305.5339,Cam 1
21532,20.3136,137.2166,15.7933,180.0718,Cam 1
21542,20.3136,139.7721,23.8145,320.9030,Cam 1
21555,20.2318,139.4075,23.9350,314.9382,Cam 1
21565,20.3136,131.0303,28.8301,188.6860,Cam 1
21571,20.3136,144.7348,21.5747,332.2906,Cam 1
21572,20.3136,126.1972,25.4095,326.3681,Cam 1
21592,20.3136,134.1425,24.9868,352.5833,Cam 1
21602,20.3136,95.7114,40.1493,326.5130,Cam 1
21603,20.3136,137.7113,25.3625,335.8609,Cam 1
25711,19.9864,175.6237,-37.5065,180.1219,Cam 2
25765,19.9864,253.9812,-52.6487,192.3354,Cam 2
25873,19.9864,246.9108,-40.1820,218.4036,Cam 2
25875,19.9864,172.6589,-64.6483,347.7093,Cam 2
26118,19.9864,171.0767,-16.0721,336.3312,Cam 2
26326,19.9864,199.3531,-65.6921,225.3948,Cam 2
26394,19.9864,249.5486,-34.4790,195.9556,Cam 2
26397,19.9864,249.6883,-34.3641,195.8710,Cam 2
26402,19.9864,167.2071,-41.5000,341.3666,Cam 2
26417,19.9864,249.4513,-59.2627,350.6723,Cam 2
26419,19.9864,166.3289,-19.7606,330.4682,Cam 2
26422,19.9864,190.2976,-61.9255,323.5447,Cam 2
26425,19.9864,168.9653,-57.0249,335.4262,Cam 2
24572,20.0273,232.5729,-71.7773,351.2671,Cam 2
25689,20.0273,235.9043,-48.5241,181.6657,Cam 2
25771,20.0273,178.4975,-18.9232,181.9588,Cam 2
26110,20.0273,224.4924,-47.1925,357.0087,Cam 2
26123,20.0273,184.7607,-21.6133,187.4675,Cam 2
26141,20.0273,247.8646,-49.6636,189.8337,Cam 2
26349,20.0273,201.0302,-62.1956,339.2993,Cam 2
26355,20.0273,188.9469,-33.1262,357.3203,Cam 2
26362,20.0273,240.9099,-44.0975,183.7400,Cam 2
26389,20.0273,169.4453,-29.2406,271.2085,Cam 2
26412,20.0273,247.6816,-39.4500,217.6132,Cam 2
26424,20.0273,254.6611,-52.3230,188.3548,Cam 2
25445,20.0682,186.3012,-30.9598,301.7904,Cam 2
26324,20.0682,193.9914,-64.1366,181.2347,Cam 2
26374,20.0682,163.2391,-2.7418,319.6063,Cam 2
26390,20.0682,160.8291,-27.9947,303.5944,Cam 2
26401,20.0682,241.7654,-69.9600,322.6857,Cam 2
23996,20.1091,255.1679,-67.3193,204.6473,Cam 2
25624,20.1091,174.5042,-23.9485,328.4209,Cam 2
25978,20.1091,176.1014,-42.1539,312.4313,Cam 2
26244,20.1091,185.8960,-71.7676,207.3399,Cam 2
26269,20.1091,177.5444,-37.0301,180.0437,Cam 2
26358,20.1091,163.5287,-12.4518,321.7165,Cam 2
26376,20.1091,179.4257,-61.0863,326.5253,Cam 2
26378,20.1091,178.6368,-64.1010,330.2846,Cam 2
26380,20.1091,183.9509,-19.3200,282.4000,Cam 2
26415,20.1091,161.8792,-24.0330,328.9359,Cam 2
26421,20.1091,166.3269,-58.8876,351.8463,Cam 2
26314,20.1500,253.0065,-48.3072,189.5719,Cam 2
26392,20.1500,220.3228,-49.5515,218.0212,Cam 2
26396,20.1500,149.7617,-20.2181,355.3205,Cam 2
26411,20.1500,258.1323,-49.2206,345.0897,Cam 2
26420,20.1500,255.3994,-56.4375,185.9367,Cam 2
26426,20.1500,163.1116,-16.4417,298.8806,Cam 2
26179,20.1909,184.9424,-21.7631,196.9845,Cam 2
26403,20.1909,189.6098,-54.9002,352.4406,Cam 2
26405,20.1909,184.5720,-27.9520,326.2986,Cam 2
18001,20.3136,274.6880,-59.3538,186.7503,Cam 2
20908,20.3136,220.2615,-70.3964,218.3439,Cam 2
21081,20.3136,218.3579,-27.9341,182.8237,Cam 2
21099,20.3136,203.8571,-49.0253,188.8479,Cam 2
22064,20.3136,275.9670,-43.2655,188.9814,Cam 2
22434,20.3136,214.1100,-42.1222,191.4167,Cam 2
22485,20.3136,273.7380,-32.2551,180.0139,Cam 2
22553,20.3136,230.5418,-68.8117,181.0125,Cam 2
22782,20.3136,231.7284,-26.0541,350.8970,Cam 2
22846,20.3136,195.5093,-26.2021,352.5557,Cam 2
22872,20.3136,275.6825,-38.6281,188.0182,Cam 2
22964,20.3136,254.7470,-42.4772,342.9696,Cam 2
22972,20.3136,192.7131,-45.0043,356.6700,Cam 2
22999,20.3136,160.4184,-72.7175,301.7618,Cam 2
23176,20.3136,267.5899,-68.5581,194.3830,Cam 2
23193,20.3136,270.5363,-57.4365,316.2256,Cam 2
23456,20.3136,273.4358,-59.8560,193.1018,Cam 2
23507,20.3136,229.7842,-57.2971,199.0713,Cam 2
23513,20.3136,209.5354,-66.2341,353.2200,Cam 2
23652,20.3136,227.0454,-39.7316,346.4088,Cam 2
24011,20.3136,254.3600,-42.3340,343.0595,Cam 2
24027,20.3136,226.7935,-61.8413,358.2138,Cam 2
24202,20.3136,272.2317,-51.9237,199.2836,Cam 2
24382,20.3136,202.8766,-54.6053,186.1644,Cam 2
24446,20.3136,257.7521,-55.7172,194.2759,Cam 2
24454,20.3136,185.0426,-48.0275,286.7000,Cam 2
24614,20.3136,221.6570,-36.9491,184.7616,Cam 2
24632,20.2727,167.7236,-69.4154,329.9828,Cam 2
24835,20.3136,254.3431,-60.3474,346.9166,Cam 2
24838,20.3136,189.5863,-17.6798,346.3884,Cam 2
24889,20.3136,248.0568,-55.5513,194.8118,Cam 2
24937,20.3136,153.1606,-39.0698,209.4784,Cam 2
25075,20.3136,264.0532,-46.8186,233.4396,Cam 2
25116,20.3136,275.6253,-35.1167,354.8070,Cam 2
25192,20.3136,249.0233,-44.6882,335.7457,Cam 2
25268,20.3136,213.0557,-60.0709,352.5214,Cam 2
25270,20.3136,184.4344,-33.5688,359.1306,Cam 2
25271,20.3136,270.9726,-63.7796,359.2000,Cam 2
25276,20.2727,239.1507,-48.1276,185.3747,Cam 2
25301,20.3136,182.3272,-35.5833,318.5503,Cam 2
25320,20.3136,183.6919,-26.5848,197.5687,Cam 2
25353,20.2318,262.0878,-66.8418,204.2452,Cam 2
25382,20.3136,223.8140,-67.8396,218.5421,Cam 2
25412,20.3136,226.6193,-36.8908,356.6516,Cam 2
25461,20.3136,263.1354,-54.5510,186.2388,Cam 2
25481,20.3136,255.8050,-56.4393,185.1635,Cam 2
25485,20.3136,159.2829,-36.7947,279.8094,Cam 2
25506,20.3136,202.0891,-36.7684,346.9063,Cam 2
25551,20.3136,178.1648,-21.8563,180.0952,Cam 2
25566,20.3136,209.2968,-72.1675,347.3637,Cam 2
25569,20.3136,173.2263,-32.5086,343.4366,Cam 2
25572,20.3136,191.6295,-37.5341,320.2689,Cam 2
25604,20.3136,171.8178,-58.9000,358.8457,Cam 2
25672,20.3136,248.0576,-55.5821,194.7163,Cam 2
25718,20.2727,221.9158,-38.6647,349.2332,Cam 2
25759,20.3136,198.6113,-42.2363,192.3271,Cam 2
25769,20.3136,210.7448,-67.7763,357.7094,Cam 2
25780,20.3136,267.3385,-54.5518,318.2020,Cam 2
25815,20.3136,241.1980,-50.1092,204.6880,Cam 2
25836,20.3136,240.4029,-50.4750,200.9568,Cam 2
25839,20.3136,271.2300,-47.7820,206.3208,Cam 2
25844,20.3136,198.4883,-57.6477,186.8867,Cam 2
25874,20.3136,249.2520,-44.9712,336.8841,Cam 2
25885,20.3136,238.2259,-68.3514,250.5927,Cam 2
25897,20.3136,170.2592,-23.5170,291.1806,Cam 2
25913,20.3136,258.4668,-63.2351,187.3825,Cam 2
25915,20.3136,194.1216,-50.2320,197.4613,Cam 2
25922,20.2727,166.5947,-16.9440,305.1803,Cam 2
25933,20.3136,182.1727,-62.8182,346.3721,Cam 2
25999,20.3136,183.1185,-54.1768,348.0769,Cam 2
26013,20.3136,185.1822,-26.1172,205.2316,Cam 2
26037,20.3136,156.9054,-21.6279,331.2432,Cam 2
26039,20.3136,177.2822,-56.0139,346.3454,Cam 2
26057,20.3136,199.0776,-57.1513,182.6415,Cam 2
26070,20.2318,190.0373,-51.8650,183.9629,Cam 2
26148,20.3136,215.2011,-61.8147,188.2019,Cam 2
26159,20.3136,159.1695,-15.5629,300.8934,Cam 2
26163,20.3136,250.2776,-59.2437,351.9495,Cam 2
26166,20.3136,238.3329,-68.6230,252.0706,Cam 2
26173,20.3136,179.4582,-19.2357,181.8553,Cam 2
26205,20.3136,276.1924,-55.2957,359.2007,Cam 2
26216,20.2727,165.1871,-51.4109,326.8501,Cam 2
26239,20.2727,224.8671,-48.7161,190.9263,Cam 2
26243,20.3136,190.8468,-19.3591,180.7481,Cam 2
26255,20.2318,172.1369,-60.2584,347.1960,Cam 2
26257,20.3136,224.6911,-56.9392,186.1535,Cam 2
26278,20.3136,166.7714,-55.6916,326.0470,Cam 2
26287,20.3136,191.4611,-34.6757,320.5261,Cam 2
26297,20.3136,182.0154,-65.4193,219.7128,Cam 2
26304,20.2318,176.9399,-19.8496,349.6097,Cam 2
26312,20.3136,170.4089,-37.5318,293.3719,Cam 2
26338,20.2318,258.5903,-51.7449,208.1881,Cam 2
26339,20.2318,164.4061,-24.8553,294.3782,Cam 2
26346,20.3136,172.7559,-44.9736,358.5002,Cam 2
26351,20.3136,178.3936,-25.0962,340.0211,Cam 2
26371,20.3136,169.1551,-46.6990,323.9158,Cam 2
26379,20.2727,188.7341,-65.7607,332.5790,Cam 2
26382,20.2727,209.3221,-59.3826,352.3975,Cam 2
26383,20.3136,187.5685,-57.9420,357.4108,Cam 2
26393,20.3136,223.1876,-46.4665,234.8815,Cam 2
26398,20.3136,241.9737,-70.0274,323.2745,Cam 2
26399,20.2727,181.7961,-57.0324,351.5617,Cam 2
26410,20.3136,253.4934,-48.5946,185.5119,Cam 2
26413,20.3136,185.6371,-50.1222,287.5992,Cam 2
26414,20.3136,221.5806,-27.7694,355.7568,Cam 2
26416,20.3136,275.1847,-60.2839,202.6964,Cam 2
26418,20.3136,238.7993,-66.5609,189.1090,Cam 2
26423,20.2318,185.9040,-52.1824,355.5962,Cam 2
2,19.9909,317.5419,-2.3992,210.2488,Cam 3
2322,19.9909,323.0030,-67.0789,187.4292,Cam 3
2491,19.9909,303.1496,-35.7357,350.5429,Cam 3
2647,19.9909,306.1725,-65.1962,198.0351,Cam 3
2832,19.9909,300.6260,-39.2826,287.0185,Cam 3
2859,19.9909,331.9372,-47.4289,356.4017,Cam 3
2930,19.9909,332.9486,-51.8522,185.9176,Cam 3
3252,19.9909,362.5145,-50.8086,351.3823,Cam 3
3335,19.9909,304.0209,-67.4574,182.7774,Cam 3
3487,19.9909,285.6292,-49.4777,194.2049,Cam 3
3501,19.9909,343.5561,-63.2185,200.8133,Cam 3
3532,19.9909,289.2470,-36.8827,321.7048,Cam 3
3675,19.9909,285.3598,-66.7290,189.9849,Cam 3
3853,19.9909,323.2658,-44.5870,187.0816,Cam 3
4015,19.9909,292.2851,-40.8815,195.8410,Cam 3
4030,19.9909,354.3627,-52.0510,182.2241,Cam 3
4199,19.9909,355.7582,-58.6104,194.9329,Cam 3
4319,19.9909,391.9914,-54.2540,285.6673,Cam 3
4343,19.9909,380.7894,-69.9742,185.5655,Cam 3
4430,19.9909,332.5662,-64.5527,259.0864,Cam 3
4457,19.9909,351.2495,-43.7963,331.6390,Cam 3
4472,19.9909,275.8331,-52.8562,190.4871,Cam 3
4546,19.9909,377.8415,-56.7735,183.0708,Cam 3
4548,19.9909,366.1727,-51.6966,348.4555,Cam 3
4549,19.9909,276.3041,-42.5681,216.7265,Cam 3
4566,19.9909,349.2591,-55.8543,182.7216,Cam 3
4637,19.9909,349.3437,-66.9628,340.9880,Cam 3
4718,19.9909,298.2948,-49.2210,186.0622,Cam 3
4808,19.9909,377.6969,-48.8601,181.5502,Cam 3
4833,19.9909,279.9615,-64.0557,208.0560,Cam 3
4841,19.9909,365.1842,-68.3680,180.4204,Cam 3
4934,19.9909,334.0201,-55.9899,359.3672,Cam 3
5035,19.9909,344.6266,-65.2696,359.1363,Cam 3
5103,19.9909,310.2943,-55.1790,184.3820,Cam 3
5155,19.9909,308.4310,-67.1853,186.1174,Cam 3
5157,19.9909,380.0437,-49.1500,355.6620,Cam 3
5309,19.9909,365.4001,-68.3237,359.7673,Cam 3
5374,19.9909,272.7096,-65.0355,198.9214,Cam 3
