track_id,timestamp_s,x_mm,y_mm,angle_deg,cam_name
44721,20.4455,128.3006,24.7829,184.1886,Cam 1
44753,20.4455,140.8193,18.4183,219.4329,Cam 1
44911,20.4455,115.7538,27.3626,331.3842,Cam 1
44952,20.4455,103.7172,38.3439,262.1041,Cam 1
45004,20.4455,108.0772,39.3555,288.5863,Cam 1
45006,20.4455,111.0517,40.5455,326.0935,Cam 1
45024,20.4455,124.3674,33.7471,292.8780,Cam 1
45026,20.4455,87.9680,98.5515,232.1809,Cam 1
45029,20.4455,85.6792,48.2631,327.0735,Cam 1
45034,20.4455,108.3401,35.7736,210.4519,Cam 1
45036,20.4455,94.9260,40.9106,329.7817,Cam 1
45037,20.4455,82.0516,53.3292,343.0336,Cam 1
45038,20.4455,107.4195,42.0756,315.9257,Cam 1
44798,20.4864,123.6703,25.4832,288.3245,Cam 1
45010,20.4864,135.5211,26.3941,332.7647,Cam 1
45039,20.4864,99.1353,45.3948,323.8000,Cam 1
36663,20.6091,73.3441,119.0759,348.5473,Cam 1
37435,20.6091,67.8955,110.8592,260.6556,Cam 1
43006,20.6091,108.8909,85.2457,242.1997,Cam 1
43763,20.6091,89.8444,134.2162,244.6437,Cam 1
43915,20.6091,87.7905,137.9634,241.2328,Cam 1
43930,20.6091,137.5614,15.5288,355.3725,Cam 1
44175,20.6091,79.0567,75.9275,306.7874,Cam 1
44409,20.6091,120.0318,36.9461,332.3059,Cam 1
44635,20.6091,145.6917,18.2638,183.2813,Cam 1
44701,20.6091,122.5495,32.0992,320.1953,Cam 1
44805,20.5273,136.7602,26.1482,331.4807,Cam 1
44807,20.5682,142.0716,24.1918,309.7887,Cam 1
44824,20.6091,112.0631,30.9044,330.7644,Cam 1
44858,20.6091,119.2644,35.0555,326.8763,Cam 1
44860,20.6091,82.3581,135.9016,281.1216,Cam 1
44873,20.6091,136.8574,21.5728,353.1756,Cam 1
44883,20.6091,148.7348,18.5248,352.5905,Cam 1
44899,20.6091,121.7555,37.7219,307.7065,Cam 1
44944,20.6091,79.5309,49.5117,317.9603,Cam 1
44965,20.6091,140.6119,15.0404,351.7786,Cam 1
44969,20.6091,142.0922,24.1487,313.3460,Cam 1
44981,20.5682,67.1691,107.9141,269.3610,Cam 1
44984,20.6091,93.8720,129.6817,247.6583,Cam 1
44986,20.6091,81.3657,89.9912,231.2937,Cam 1
44988,20.6091,132.5685,24.8719,191.8877,Cam 1
45012,20.6091,114.4129,34.0381,191.5662,Cam 1
45014,20.6091,144.2486,23.4785,334.1122,Cam 1
45017,20.6091,113.6188,39.8229,208.2035,Cam 1
45018,20.6091,105.7257,35.6822,184.0105,Cam 1
45022,20.5273,137.6819,21.8362,346.5356,Cam 1
45023,20.6091,124.8204,33.6679,313.2556,Cam 1
45025,20.6091,115.5742,30.9756,342.7189,Cam 1
45028,20.5682,136.9650,25.9492,329.8035,Cam 1
45033,20.6091,123.7360,26.6737,293.0238,Cam 1
45035,20.5273,83.2829,129.3488,278.3135,Cam 1
45040,20.5273,137.4081,18.1623,333.6584,Cam 1
51530,20.4455,253.2391,-51.4648,271.9314,Cam 2
51804,20.4455,201.2855,-53.1788,194.5012,Cam 2
51982,20.4455,224.2814,-28.4661,225.7287,Cam 2
52050,20.4455,271.5356,-50.3760,339.2662,Cam 2
52134,20.4455,189.5662,-43.7409,259.4996,Cam 2
52164,20.4455,260.7944,-48.0057,190.5584,Cam 2
52169,20.4455,183.6619,-22.2754,183.2409,Cam 2
52198,20.4455,224.7226,-51.7997,181.5708,Cam 2
52282,20.4455,168.2432,-22.9136,333.7262,Cam 2
52284,20.4455,254.1125,-32.7339,213.7572,Cam 2
52315,20.4455,174.9927,-35.6018,308.6764,Cam 2
52322,20.4455,168.4247,-37.0316,324.8714,Cam 2
52334,20.4455,266.2413,-44.3153,184.8419,Cam 2
52340,20.4455,185.4101,-34.9450,254.9227,Cam 2
52343,20.4455,230.0097,-27.6086,193.3077,Cam 2
52383,20.4455,241.4366,-27.8748,351.5239,Cam 2
52385,20.4455,170.6800,-64.7731,313.1871,Cam 2
52392,20.4455,165.9818,-35.6221,234.7420,Cam 2
52394,20.4455,171.4513,-37.7528,264.3603,Cam 2
52397,20.4455,227.4310,-34.2739,320.5259,Cam 2
52398,20.4455,240.8023,-44.0640,302.1862,Cam 2
52399,20.4455,177.9785,-18.6846,345.9978,Cam 2
52400,20.4455,242.8916,-39.0689,324.6792,Cam 2
52401,20.4455,243.5695,-40.3204,207.1801,Cam 2
52406,20.4455,188.0663,-25.9946,352.7493,Cam 2
52407,20.4455,241.8335,-34.9978,358.2377,Cam 2
52408,20.4455,276.0435,-67.8895,207.7388,Cam 2
52409,20.4455,255.4138,-58.1960,337.9285,Cam 2
52410,20.4455,232.3007,-31.5432,210.9755,Cam 2
52412,20.4455,241.1253,-34.1192,349.3919,Cam 2
52414,20.4455,251.8177,-37.1442,346.6704,Cam 2
52417,20.4455,264.8262,-64.6832,279.4674,Cam 2
52419,20.4455,229.9128,-37.8657,303.6753,Cam 2
52420,20.4455,183.2308,-20.4702,354.8957,Cam 2
52421,20.4455,270.6707,-67.0192,205.0770,Cam 2
52422,20.4455,189.9617,-30.5539,334.1253,Cam 2
52423,20.4455,179.8110,-20.7655,318.4710,Cam 2
52424,20.4455,239.1661,-33.1044,191.6486,Cam 2
52425,20.4455,175.8259,-65.6714,356.8985,Cam 2
52426,20.4455,236.9687,-64.5902,227.4295,Cam 2
52427,20.4455,174.4598,-36.1294,214.2168,Cam 2
52429,20.4455,180.4561,-18.7666,343.6733,Cam 2
52430,20.4455,266.3067,-49.6812,222.8077,Cam 2
52432,20.4455,164.0873,-17.1180,259.5776,Cam 2
52433,20.4455,237.1430,-32.8924,187.6632,Cam 2
51814,20.4864,255.9216,-61.8046,198.3569,Cam 2
51986,20.4864,188.8525,-53.8381,259.5526,Cam 2
52016,20.4864,248.8559,-58.3688,324.7193,Cam 2
52038,20.4864,194.7538,-52.2594,332.2250,Cam 2
52136,20.4864,247.4355,-29.8434,341.8689,Cam 2
52248,20.4864,258.0434,-39.8165,278.7624,Cam 2
52275,20.4864,208.1489,-52.8649,180.9842,Cam 2
52318,20.4864,271.5549,-63.7464,204.5110,Cam 2
52320,20.4864,159.4069,-13.9878,304.1817,Cam 2
52360,20.4864,180.0397,-40.5955,227.2800,Cam 2
52379,20.4864,243.8198,-29.2296,195.7502,Cam 2
52391,20.4864,262.7510,-54.7500,343.8645,Cam 2
52404,20.4864,171.0275,-60.2583,354.1840,Cam 2
52411,20.4864,234.8384,-34.2855,358.5186,Cam 2
52416,20.4864,159.5381,-33.6449,268.7131,Cam 2
52428,20.4864,183.4554,-56.7103,329.7873,Cam 2
52431,20.4864,234.2360,-43.6431,302.4598,Cam 2
44374,20.6091,186.5135,-71.9865,327.6473,Cam 2
46992,20.6091,273.0407,-42.4630,339.0528,Cam 2
47234,20.6091,274.0489,-59.4918,217.5413,Cam 2
47267,20.6091,241.5967,-24.3924,357.5760,Cam 2
47367,20.6091,228.1894,-64.1541,206.4847,Cam 2
47878,20.6091,271.9634,-36.7515,359.1221,Cam 2
48314,20.6091,220.3108,-56.8345,344.0130,Cam 2
48407,20.6091,243.0981,-67.2533,239.1116,Cam 2
49072,20.6091,159.4651,-60.5037,329.6528,Cam 2
49355,20.6091,167.9343,-57.0070,321.7756,Cam 2
49585,20.6091,266.2760,-68.2908,335.5027,Cam 2
49673,20.6091,220.7646,-52.0325,182.6253,Cam 2
49878,20.6091,217.6502,-54.8767,324.3181,Cam 2
49975,20.6091,241.1780,-45.9974,316.6470,Cam 2
50161,20.6091,223.3061,-39.5572,298.9021,Cam 2
50233,20.6091,257.8342,-35.2489,196.3664,Cam 2
50357,20.6091,205.1336,-22.0706,184.3182,Cam 2
50420,20.6091,267.7035,-33.8098,321.9264,Cam 2
50550,20.6091,249.0251,-58.3483,319.4021,Cam 2
50669,20.6091,238.7327,-52.7644,245.1622,Cam 2
50684,20.6091,204.1609,-62.5130,353.0056,Cam 2
50793,20.6091,160.9584,-57.9052,321.2901,Cam 2
50833,20.6091,246.2969,-46.8393,182.8060,Cam 2
51200,20.6091,223.4989,-29.5364,346.4785,Cam 2
51254,20.6091,237.1760,-25.1514,181.5959,Cam 2
51368,20.6091,275.5161,-58.3796,216.8630,Cam 2
51421,20.6091,237.7817,-53.7475,239.1222,Cam 2
51428,20.6091,265.5528,-60.2704,268.8768,Cam 2
51429,20.6091,183.6335,-57.0551,344.6163,Cam 2
51469,20.5273,182.3217,-27.1021,321.1668,Cam 2
51521,20.6091,193.9592,-44.7092,282.9648,Cam 2
51553,20.5273,214.7945,-45.1176,330.0213,Cam 2
51600,20.6091,273.0971,-66.6510,224.7107,Cam 2
51613,20.6091,182.7915,-70.6290,327.8747,Cam 2
51676,20.6091,230.3092,-42.1584,246.8327,Cam 2
51681,20.6091,178.4315,-35.5531,243.8818,Cam 2
51692,20.6091,265.6706,-57.3037,266.9051,Cam 2
51697,20.6091,208.9874,-19.6019,180.3125,Cam 2
51737,20.6091,274.7747,-52.4849,359.7886,Cam 2
51758,20.6091,220.4059,-28.8837,338.6083,Cam 2
51801,20.5682,230.1819,-54.0342,331.8120,Cam 2
51807,20.6091,250.4400,-55.8362,343.9479,Cam 2
51823,20.6091,163.0908,-23.6180,270.3094,Cam 2
51846,20.6091,248.8404,-57.5016,310.4464,Cam 2
51851,20.6091,245.9794,-46.9638,185.2868,Cam 2
51858,20.6091,184.7159,-29.2065,308.0810,Cam 2
51877,20.6091,197.5643,-19.8115,357.6589,Cam 2
51937,20.6091,227.0784,-38.4014,337.6686,Cam 2
51971,20.6091,156.9335,-51.0080,299.6021,Cam 2
52011,20.6091,203.8005,-33.6643,349.5914,Cam 2
52014,20.6091,164.5455,-50.8411,296.4915,Cam 2
52015,20.6091,236.9915,-50.1563,201.9928,Cam 2
52026,20.6091,187.1935,-18.0869,195.5494,Cam 2
52070,20.6091,215.7001,-29.1068,184.9662,Cam 2
52082,20.6091,160.0114,-66.6162,270.4488,Cam 2
52090,20.6091,196.1548,-33.2653,352.2045,Cam 2
52091,20.6091,250.7943,-38.1479,348.8350,Cam 2
52092,20.6091,199.9619,-59.6419,219.7040,Cam 2
52094,20.6091,199.4606,-57.6813,198.3460,Cam 2
52108,20.5682,187.4639,-31.0944,317.1719,Cam 2
52111,20.6091,201.5526,-42.7559,341.1414,Cam 2
52113,20.6091,188.8283,-21.6653,181.7639,Cam 2
52151,20.5682,259.4542,-53.6885,333.2771,Cam 2
52156,20.6091,230.6452,-56.4071,359.1048,Cam 2
52157,20.6091,203.4861,-38.4846,193.2253,Cam 2
52167,20.6091,204.7046,-27.2332,358.5003,Cam 2
52183,20.5682,250.8079,-55.8558,338.5839,Cam 2
52189,20.6091,167.6987,-13.4151,288.4034,Cam 2
52191,20.6091,217.2003,-50.9020,205.0144,Cam 2
52214,20.6091,188.3744,-57.7288,244.3766,Cam 2
52223,20.6091,190.9725,-15.4320,344.9048,Cam 2
52236,20.6091,247.8598,-30.1129,344.6406,Cam 2
52238,20.5682,224.7869,-48.4704,300.2759,Cam 2
52242,20.6091,195.6844,-31.1181,315.3438,Cam 2
52244,20.6091,268.6506,-30.5204,336.5664,Cam 2
52254,20.6091,199.1667,-48.0692,275.4545,Cam 2
52260,20.6091,216.9179,-42.5284,353.9328,Cam 2
52274,20.5682,248.5291,-65.9505,223.5984,Cam 2
52286,20.6091,178.3090,-28.6512,341.0741,Cam 2
52291,20.6091,175.3196,-21.3565,329.8224,Cam 2
52298,20.5273,253.7696,-49.3834,255.4051,Cam 2
52314,20.5273,239.6319,-56.4774,186.5122,Cam 2
52325,20.6091,209.4372,-42.6124,329.4321,Cam 2
52327,20.5682,162.8102,-21.1567,198.7441,Cam 2
52328,20.5682,188.4198,-40.2948,242.3859,Cam 2
52337,20.6091,166.7816,-27.8300,347.8046,Cam 2
52338,20.5682,178.2533,-20.7574,306.3081,Cam 2
52342,20.5273,265.6660,-56.9544,355.8540,Cam 2
52350,20.6091,183.8617,-41.9986,268.0608,Cam 2
52352,20.6091,168.2030,-53.6452,352.7037,Cam 2
52357,20.6091,185.8723,-57.6624,326.6297,Cam 2
52363,20.5273,244.0174,-29.1938,192.6175,Cam 2
52365,20.6091,184.5256,-42.3686,250.4447,Cam 2
52380,20.6091,254.4411,-57.9639,324.9203,Cam 2
52381,20.6091,153.3399,-71.5326,273.0285,Cam 2
52388,20.5682,219.2151,-34.0730,296.5200,Cam 2
52389,20.5273,255.7572,-31.0212,215.3939,Cam 2
52390,20.6091,199.1021,-20.2827,181.5825,Cam 2
52393,20.5273,213.7236,-36.2603,346.5758,Cam 2
52395,20.6091,246.4702,-40.4158,349.5850,Cam 2
52396,20.5682,181.1661,-21.7810,324.4829,Cam 2
52402,20.6091,255.6827,-62.0034,198.0944,Cam 2
52403,20.6091,245.9192,-51.5935,350.7478,Cam 2
52405,20.5273,269.4112,-45.4381,356.7875,Cam 2
52413,20.6091,241.7083,-72.7253,190.2069,Cam 2
52415,20.5682,181.6170,-47.1064,180.6436,Cam 2
52418,20.6091,179.5963,-63.6990,188.2141,Cam 2
12504,20.4500,349.3516,-48.9286,184.1486,Cam 3
12588,20.4500,290.2171,-52.2593,183.4266,Cam 3
12697,20.4500,351.7754,-37.1086,345.0582,Cam 3
12758,20.4500,376.6649,-51.6898,349.6527,Cam 3
12790,20.4500,275.5242,-41.7246,183.8669,Cam 3
12834,20.4500,281.4511,-38.0543,354.1141,Cam 3
12843,20.4500,336.7500,-53.5731,353.3547,Cam 3
12864,20.4500,346.2697,-54.2557,181.8575,Cam 3
12865,20.4500,271.6384,-47.9903,211.9935,Cam 3
12873,20.4500,271.2839,-29.0380,221.0768,Cam 3
12903,20.4500,300.1855,-49.5916,256.4190,Cam 3
12911,20.4500,355.2560,-50.0841,187.8576,Cam 3
12914,20.4500,276.6303,-37.6493,188.2712,Cam 3
12923,20.4500,281.4065,-46.5563,182.9686,Cam 3
12925,20.4500,369.9339,-52.1801,357.2517,Cam 3
12927,20.4500,291.7464,-43.6440,182.7830,Cam 3
12929,20.4500,282.2552,-47.7862,201.6251,Cam 3
