toma,reologia,fibras,zona,n_fibras,orden_S,theta_med,sigma_iso,indice_uniformidad,fiable,objetivo,calidad_orientacion,cos2delta,columna,desviacion_media,V_cuasi,V_inicio,V_transicion,omega_cuasi,omega_inicio,omega_transicion,gamma_dot_cuasi,gamma_dot_inicio,gamma_dot_transicion
m70,car-02,3000,Vf1c1,143,0.3873623283866478,175.51878399179859,27.03394015772783,0.30563746989823515,True,135.0,0.5301729724742796,0.15578681902264077,1.0,43.07756713286713,0.8117745518684387,29.72611427307129,6.722748279571533,0.06484600901603699,3.4786460399627686,0.28185905516147614,0.16213811933994293,7.9801342487335205,0.5783707797527313
m70,car-02,3000,Vf1c2,27,0.56292059432989,165.2011790261346,23.339626665890226,0.33627796341863736,True,0.0,0.7447340227174634,0.8695152573296726,2.0,27.384848148148144,0.3542851209640503,11.893414545059205,1.3195568919181824,0.06350898742675781,0.024388277359685163,0.1754663661122322,0.14656823128461838,0.4901555822789669,0.3634965717792511
m70,car-02,3000,Vf2c1,185,0.30176245668485513,172.3072367784846,33.313581615869516,0.3046591650688288,True,135.0,0.5400306861087751,0.26531256769678996,1.0,42.07373351351351,0.9219245612621307,104.75090026855469,16.696757316589355,0.06416648253798485,9.306684494018555,0.4124106466770172,0.14382380992174149,20.752317428588867,0.8667515218257904
m70,car-02,3000,Vf2c2,210,0.44534998697070677,2.692264585057141,30.63038739421876,0.33315463709833343,True,0.0,0.7216924042586258,0.9955873391468534,2.0,28.681772380952385,0.5802790820598602,,11.16513204574585,0.10184473171830177,,0.3626978248357773,0.23454634100198746,,0.7659022808074951
m70,car-02,3000,Vf2c3,71,0.6747657031204051,15.49708110087999,14.726735516272079,0.3269875019356722,True,45.0,0.6737355478896324,0.5149507364888433,3.0,32.292636619718316,0.3186149001121521,18.107287406921387,5.322680950164795,0.0714239776134491,0.8061503767967224,0.23969194293022156,0.17300644516944885,1.6076990962028503,0.5186900496482849
m73,car-02,1500,Vf1c1,98,0.47949476084967635,170.31296345169207,28.397694658631995,0.32218963568666004,True,135.0,0.5795324247151542,0.3317342803671966,1.0,38.56203877551021,0.8572536706924438,35.36559295654297,7.440429210662842,0.060969360172748566,3.5747101306915283,0.27023008465766907,0.1615089476108551,8.412435531616211,0.5573517680168152
m73,car-02,1500,Vf1c2,46,0.7142583345538558,174.63411670093382,22.253028177837678,0.3019350349766259,True,0.0,0.8508828731671698,0.9825097060612961,2.0,19.07314782608696,0.30211834609508514,6.3853864669799805,0.7445088624954224,0.061003854498267174,0.13967400789260864,0.11252390220761299,0.14290811121463776,0.3097058832645416,0.25598596036434174
m73,car-02,1500,Vf2c1,194,0.41066015065839356,172.6055111860535,29.48865861158637,0.3517907577299917,True,135.0,0.5524125055300059,0.25525975893193004,1.0,41.37386134020619,0.914042204618454,103.690185546875,16.55499267578125,0.062399232760071754,8.795690536499023,0.3737514019012451,0.13904401659965515,17.55382537841797,0.8069406747817993
m73,car-02,1500,Vf2c2,216,0.5994715892732203,10.524833451223211,32.02755709925837,0.35739726054361265,True,0.0,0.7797342524631964,0.9332694241684982,2.0,23.746656018518518,0.44109390676021576,,11.527263641357422,0.09538337960839272,,0.3022782802581787,0.22002818435430527,,0.6478707790374756
m73,car-02,1500,Vf2c3,95,0.5731386408360566,173.3692155253332,14.857773699371734,0.3451792310951016,True,45.0,0.4342618784247052,-0.22939692734518935,3.0,49.418350526315784,0.31672535836696625,,6.396591663360596,0.07946249097585678,,0.3249225318431854,0.19368964433670044,,0.6741818785667419
m74,car-02,750,Vf1c1,83,0.5190337134530725,163.92725282069375,28.18003225878858,0.2695895677843652,True,135.0,0.6380814062062503,0.53207104905618,1.0,33.87485903614458,1.602257490158081,39.42708206176758,8.617364883422852,0.0766247883439064,3.9969102144241333,0.26594918966293335,0.19156014174222946,9.561184883117676,0.6279667019844055
m74,car-02,750,Vf1c2,18,0.24306090106824882,20.062437525719414,14.595053340863371,0.4986883072443397,True,0.0,0.5929272480579335,0.7646416815663868,2.0,38.868294444444444,0.3622093200683594,30.485767374038698,1.537526249885559,0.06944485753774643,,0.11712361872196198,0.1768181324005127,,0.2809685468673706
m74,car-02,750,Vf2c1,150,0.3982665130836353,165.4504350350868,31.07208901593671,0.32029695330005015,True,135.0,0.5968429058154502,0.48632211162133676,1.0,38.07230466666667,1.736639142036438,101.03366470336914,16.84286880493164,0.0724109411239624,9.557709217071533,0.3649604916572571,0.16176209598779678,19.343921661376953,0.7663030028343201
m74,car-02,750,Vf2c2,102,0.6673303995981932,1.3401273164748093,31.5269624386068,0.4682410773014054,True,0.0,0.8333001866033255,0.9989060495490961,2.0,20.144561764705884,0.7517526745796204,56.09271430969238,11.780137062072754,0.11377309262752533,1.0358114838600159,0.27800452709198,0.25827670097351074,2.0372276306152344,0.5869112610816956
m74,car-02,750,Vf2c3,47,0.6795994570975613,5.230395196079708,14.921177763579848,0.4289858338705099,True,45.0,0.5616949240294208,0.18156260539968022,3.0,40.66326595744681,0.2886681705713272,18.731504440307617,5.805538177490234,0.08430066704750061,0.524234265089035,0.18918047845363617,0.199304960668087,1.021219253540039,0.41352730989456177
m75,car-02,750,Vf1c1,97,0.4762413254585476,155.72008446029756,27.46771728902155,0.2385592767855421,True,135.0,0.6785065006625886,0.7496472528532216,1.0,31.89957319587629,1.1161489486694336,34.55851364135742,6.747758388519287,0.08008072525262833,3.8378796577453613,0.2633981704711914,0.1893128752708435,8.27219009399414,0.5831869840621948
m75,car-02,750,Vf1c2,7,0.793339632347001,175.25116130535375,25.867819384922125,0.6367662107131095,True,0.0,0.8912323818814666,0.9862922912953483,2.0,15.083242857142855,0.43881523609161377,5.15505051612854,0.8601230382919312,0.07307551801204681,0.20418178290128708,0.1071183830499649,0.16663578152656555,0.35215604305267334,0.237505704164505
m75,car-02,750,Vf2c1,172,0.5918046238386331,177.00426288498807,30.221610393781052,0.3049440472048485,True,135.0,0.5308864237269441,0.10438047451067453,1.0,42.89311802325581,1.0824461579322815,108.685791015625,16.664770126342773,0.07353730499744415,10.667608261108398,0.3800945580005646,0.16289207339286804,22.169025421142578,0.7973320484161377
m75,car-02,750,Vf2c2,121,0.6715028175210077,4.505019728141114,32.42366311200661,0.5131205475057432,True,0.0,0.8316085435019267,0.9876609147408453,2.0,20.042783471074383,0.6189781129360199,56.01828575134277,16.12528133392334,0.10811728984117508,1.0628570914268494,0.28365956246852875,0.24242933094501495,2.203661322593689,0.6249256432056427
m75,car-02,750,Vf2c3,42,0.6397488804166517,174.5158378077577,14.64447379253934,0.43773841627425236,True,45.0,0.43913868027150826,-0.19026627975919097,3.0,49.2309738095238,0.2855546772480011,18.022058486938477,5.884418964385986,0.07806352525949478,0.7301188707351685,0.244007408618927,0.1938292309641838,1.3962440490722656,0.5091454982757568
m77,car-02,1500,Vf1c1,111,0.2819071922064228,171.58090911565893,23.744397702765685,0.31253159964622335,True,135.0,0.540829984221776,0.2896696881140847,1.0,42.080279279279274,0.8953370451927185,26.768807411193848,5.698882102966309,0.07415406405925751,2.8290112018585205,0.2573087811470032,0.17729386687278748,6.1746885776519775,0.5506429672241211
m77,car-02,1500,Vf1c2,17,0.5613799835715866,1.4683735903569124,26.65896284512986,0.43078127703685754,True,0.0,0.7803213626094605,0.9986867035265933,2.0,25.264458823529413,0.3782435953617096,4.6893110275268555,0.7624793648719788,0.06506247073411942,0.5036354660987854,0.11289650201797485,0.16440173983573914,0.8641225695610046,0.2707555592060089
m77,car-02,1500,Vf2c1,246,0.25967456151801727,5.741855285762747,29.081831572280617,0.2874179367692447,True,135.0,0.47415078280446815,-0.19908932969345364,1.0,46.809702845528456,1.2579832077026367,98.03347778320312,16.2880802154541,0.07547323778271675,6.2315592765808105,0.3795837461948395,0.16822586953639984,17.37231159210205,0.7798594832420349
m77,car-02,1500,Vf2c2,150,0.5004756858580434,0.7959954561111038,32.80288202209292,0.4592167964377696,True,0.0,0.7501412531984145,0.9996140082991577,2.0,25.780075333333333,2.165868043899536,,11.691061019897461,0.1436443328857422,,0.31399014592170715,0.3204459249973297,,0.6538482308387756
m77,car-02,1500,Vf2c3,61,0.4702424576839017,0.8360171899241934,14.91135321449303,0.47622154371214775,True,45.0,0.5068604526230641,0.029178363250541507,3.0,44.64353114754099,0.33970406651496887,11.546010971069336,4.807026386260986,0.08128505200147629,0.4531484544277191,0.23035620152950287,0.20267947018146515,0.9349722862243652,0.4882289469242096
m80,car-02,3000,Vf1c1,134,0.4455379158654949,163.71199370106754,28.43645871263381,0.310595749686426,True,135.0,0.6199428251236191,0.5384180373992195,1.0,35.87605447761195,0.7943750619888306,31.0801420211792,6.036870241165161,0.06087246909737587,2.428647518157959,0.22280368953943253,0.1437879055738449,4.973484992980957,0.48155394196510315
m80,car-02,3000,Vf1c2,44,0.4333428054388308,8.64327964679878,26.191266766583485,0.2001573975958172,True,0.0,0.7068844708993786,0.9548305327920417,2.0,31.229854545454543,0.3040315806865692,8.289599418640137,0.8687861859798431,0.07182562351226807,0.2737008035182953,0.14065047353506088,0.16588522493839264,0.4630967080593109,0.297621950507164
m80,car-02,3000,Vf2c1,146,0.21932548043814862,172.1825765358754,31.97623288553627,0.36519729911383253,True,135.0,0.5295547182338739,0.2695055601823569,1.0,42.787435616438366,1.0617050528526306,83.0979995727539,14.21971607208252,0.07133202254772186,6.503552436828613,0.375006765127182,0.16451237350702286,15.531218528747559,0.8417799472808838
m80,car-02,3000,Vf2c2,196,0.4896883063642381,3.331157356775565,31.097718623092835,0.33038458215299377,True,0.0,0.7431907629296014,0.9932471728198143,2.0,26.455634183673467,0.6136741638183594,54.78001022338867,11.143758773803711,0.12132786214351654,1.2958015203475952,0.36656394600868225,0.2836090326309204,2.518899440765381,0.766247034072876
m80,car-02,3000,Vf2c3,59,0.8065189119264402,176.6893548620148,12.432483585519819,0.35259507871632506,True,45.0,0.4535016581536867,-0.11530626538005934,3.0,47.54468813559322,0.3100009262561798,11.589792728424072,3.6345653533935547,0.07405948266386986,0.5377162098884583,0.23993384093046188,0.18221528828144073,1.1792826652526855,0.504161536693573
m83,car-05,3000,Vf1c1,154,0.21940578630885346,90.95675769649995,15.717789167581227,0.24846957550464946,True,135.0,0.503663082271602,0.033390935883937996,1.0,44.47615324675324,1.4900529384613037,4.470963001251221,2.24239718914032,0.13996147364377975,0.6031357049942017,0.19354433566331863,0.31279444694519043,1.3270924091339111,0.4388207495212555
m83,car-05,3000,Vf2c1,228,0.21878985589170918,49.84044675373592,27.302381046594537,0.26358723560898983,True,135.0,0.39216289951634625,-0.9857596006373172,1.0,52.88926578947368,0.8057883977890015,6.231092929840088,2.205167293548584,0.13251790404319763,0.39914438128471375,0.1500658541917801,0.32561445236206055,0.8836382031440735,0.3497662842273712
m83,car-05,3000,Vf2c2,54,0.30876656572692374,19.525756752850448,19.08488195420336,0.25021467971861405,True,0.0,0.6198909447769206,0.7765798378763163,2.0,36.26560555555556,1.1521708965301514,3.1260502338409424,2.809904098510742,0.18849307298660278,0.115507110953331,0.13871274888515472,0.4118422865867615,0.2441667541861534,0.2909562885761261
m86,car-05,750,Vf1c1,52,0.1250364877442361,145.86124818658405,14.82800859337388,0.29436891707795837,True,135.0,0.5580786560829346,0.928987324111907,1.0,40.58295384615384,1.4082192182540894,2.998507499694824,1.9524743556976318,0.16831177473068237,0.4779408276081085,0.26367783546447754,0.3791300356388092,1.0257288217544556,0.5647186636924744
m86,car-05,750,Vf2c1,135,0.202356370673238,27.877279860677547,29.731432477705482,0.3051982077849767,True,135.0,0.416362617737639,-0.8266345357361388,1.0,51.089254814814815,0.607989490032196,4.6736931800842285,1.9484647512435913,0.13031762838363647,0.3857886493206024,0.17366573959589005,0.31896108388900757,0.8751899302005768,0.40647900104522705
m86,car-05,750,Vf2c2,52,0.501846374506287,32.58184788554,22.243566074284903,0.3804777110080386,True,0.0,0.6053945616821095,0.42002719173091985,2.0,36.913567307692304,0.9712056219577789,3.0423269271850586,2.6631085872650146,0.19248535484075546,0.135347381234169,0.1982388198375702,0.42986807227134705,0.28281068801879883,0.41446761786937714
m87,car-05,750,Vf1c1,56,0.30300805697049943,120.16895883035704,14.218450499165426,0.24851781224608827,True,135.0,0.6316508213305524,0.8689592128130759,1.0,35.01043035714286,1.7281473875045776,3.720864415168762,2.2048507928848267,0.12675058841705322,0.5443286895751953,0.23158534616231918,0.28351590037345886,1.19442218542099,0.5182742476463318
m87,car-05,750,Vf2c1,126,0.5802534591388632,22.212718777895375,26.495861214252113,0.3231797886627951,True,135.0,0.29691695392649486,-0.6999804753422568,1.0,59.36587936507935,1.170684576034546,6.232453346252441,2.5248279571533203,0.14522820711135864,0.35651639103889465,0.14643705636262894,0.3522202670574188,0.8024927377700806,0.33517710864543915
m87,car-05,750,Vf2c2,70,0.13973088670974557,22.890222510293444,20.24777049967081,0.26783382541600115,True,0.0,0.5487248408917729,0.697409742958061,2.0,41.48586857142856,0.7731725573539734,3.1384694576263428,1.528223991394043,0.13044540584087372,0.0989978089928627,0.19174407422542572,0.30842676758766174,0.21311746537685394,0.41091346740722656
m91,car-05,3000,Vf1c1,127,0.2990875945618675,101.0532857726386,16.9854348809634,0.26591698023986593,True,135.0,0.5562778963334772,0.37633052896037633,1.0,41.078976377952756,1.2901752591133118,3.540616512298584,2.0745677947998047,0.15477342903614044,0.5060102045536041,0.2286711484193802,0.35164858400821686,1.1365734934806824,0.5101851224899292
m91,car-05,3000,Vf2c1,208,0.2588563842444216,24.656624557811792,24.671593907318552,0.2638648073571205,True,135.0,0.40185652940858557,-0.7582851076119782,1.0,52.05375528846153,0.5863057374954224,6.029400825500488,2.000701904296875,0.11392339318990707,0.4319959580898285,0.16979224979877472,0.2886974811553955,0.9730672240257263,0.39687663316726685
m91,car-05,3000,Vf2c2,56,0.3766993596501486,15.212152960619298,24.520891963063207,0.2201352271203858,True,0.0,0.6624137260217645,0.8622989227940431,2.0,33.44410357142857,0.5405987501144409,3.1629295349121094,1.2999166250228882,0.11513395607471466,0.09886149317026138,0.1728261113166809,0.2635764479637146,0.21074336767196655,0.3746832311153412
