toma,reologia,fibras,zona,n_fibras,orden_S,theta_med,sigma_iso,indice_uniformidad,fiable,objetivo,calidad_orientacion,desviacion_media,V_cuasi,V_transicion,omega_cuasi,omega_transicion,gamma_dot_cuasi,gamma_dot_transicion
m75,car-02,750,Vf1c1,79,0.47216890147427243,155.03628091130943,24.725969673898938,0.24636338365722707,True,135.0,0.680658851196459,31.817451898734177,1.815619707107544,11.146270275115967,0.09317926317453384,0.5103151798248291,0.21830689907073975,1.1168874502182007
m75,car-02,750,Vf1c2,2,0.9797307760080063,0.5847999999999896,16.459461453218932,1.0,False,0.0,0.9897633266953674,5.777799999999985,,1.3735096454620361,,0.1373344212770462,,0.29208536446094513
m75,car-02,750,Vf2c1,166,0.5942999865474093,177.79291238524578,30.130234602385308,0.3031151939059492,True,135.0,0.5228703575467455,43.46483493975904,1.1272737979888916,17.525629997253418,0.0751388929784298,0.402728796005249,0.16617244482040405,0.8455025255680084
m75,car-02,750,Vf2c2,121,0.6715028175210077,4.505019728141114,32.42366311200661,0.5131205475057432,True,0.0,0.8316085435019267,20.042783471074383,0.6778350472450256,17.194571495056152,0.10898870974779129,0.3088381290435791,0.24474654346704483,0.674724817276001
m75,car-02,750,Vf2c3,37,0.7093309649426284,174.8129819534481,13.287378628573963,0.4848450345072649,True,45.0,0.4361341751227663,49.34334864864865,0.45459650456905365,9.996800899505615,0.11097011715173721,0.2558114379644394,0.2520488351583481,0.5256354808807373
m77,car-02,1500,Vf1c1,102,0.3319550766065635,172.1098819512477,23.61902978530522,0.34467613785453033,True,135.0,0.5451373124333088,41.811644117647056,1.7630960941314697,11.329764366149902,0.10422206670045853,0.539069652557373,0.24175013601779938,1.2290462255477905
m77,car-02,1500,Vf1c2,6,0.6055740488988761,172.53620111138375,10.982342977494985,0.4858643660466779,True,0.0,0.7925686023254225,26.09353333333333,,1.1964123249053955,,0.16958925873041153,,0.3578677922487259
m77,car-02,1500,Vf2c1,229,0.27956636717412364,6.8623804044085475,28.846762342657378,0.2932550799100273,True,135.0,0.46683532334202715,47.307259825327506,1.4182342290878296,18.537059783935547,0.07958266884088516,0.437313050031662,0.17664553970098495,0.9006000757217407
m77,car-02,1500,Vf2c2,145,0.48722092225112196,1.0391845212949191,32.607481664590274,0.46438948974309674,True,0.0,0.743450203619029,26.377744137931035,2.299705147743225,12.019195556640625,0.14417089521884918,0.32108329236507416,0.32168610394001007,0.6668415665626526
m77,car-02,1500,Vf2c3,49,0.4890078564218922,179.51024208252204,12.642264424396467,0.46557101207912654,True,45.0,0.49582021912345775,45.423136734693884,1.3312038779258728,9.31744384765625,0.1592562049627304,0.290815532207489,0.3533851355314255,0.6368778347969055
m80,car-02,3000,Vf1c1,131,0.4558362692125683,163.61972033709293,28.566147559959187,0.3127277133337576,True,135.0,0.6233332174380383,35.67094045801527,1.915876567363739,12.024977684020996,0.0901435911655426,0.46363285183906555,0.20528914779424667,1.012824296951294
m80,car-02,3000,Vf1c2,25,0.3892645481679186,16.623213214451372,13.349304199057215,0.41891669648270563,True,0.0,0.6627749318924228,34.32768,0.3004048019647598,0.9293230175971985,0.07025090605020523,0.14649759978055954,0.16402161121368408,0.30256588757038116
