respuesta,predictor,rho_cuasi,inicio,rho_transicion,domina_etapa,delta_abs_rho
orden_S,V,-0.4666666666666667,0.4088794926004227,0.13709677419354843,cuasi,-0.32956989247311824
orden_S,gamma_dot,-0.06315789473684211,0.07701600724856539,-0.04596774193548387,cuasi,-0.017190152801358237
orden_S,omega,-0.0824561403508772,0.10736937481123526,-0.021370967741935486,cuasi,-0.06108517260894171
sigma_iso,V,0.1701754385964912,0.6604651162790698,0.6770161290322582,transicion,0.506840690435767
sigma_iso,gamma_dot,-0.25789473684210523,0.49848988221081236,0.6536290322580646,transicion,0.39573429541595934
sigma_iso,omega,-0.2263157894736842,0.49848988221081236,0.6495967741935484,transicion,0.42328098471986425
