reologia,fibras,n,orden_S_med,orden_S_sd,sigma_med
car-02,750,14,0.562,0.133,21.247
car-02,1500,8,0.49,0.181,21.099
car-02,3000,14,0.552,0.188,20.988
car-05,750,12,0.462,0.193,20.092
car-05,1500,12,0.349,0.196,19.891
car-05,3000,12,0.389,0.171,18.999
